,retraction_ind,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,area_exposed,stress_induced,displacement
186,10,-0.008913908,0.07021708,0.064228825,-0.171010072,0.96984631,0.173648178,4.08E-05,11315.09441,0.02337833
151,79,-0.015297594,0.060266107,0.072971143,-0.433012702,0.75,0.5,3.92E-05,7774.907278,0.020522713
81,80,-0.015844645,0.058205783,0.074492313,-0.433012702,0.75,-0.5,3.79E-05,10682.38147,0.019223146
141,81,-0.0156483,0.060388926,0.075242795,-0.433012702,0.75,-0.5,3.94E-05,6759.207659,0.016837948
212,114,-0.012684989,0.065341473,0.066714987,-0.433012702,0.75,0.5,3.88E-05,8657.08137,0.017384858
23,166,-0.01503684,0.053202383,0.070946276,-0.433012702,0.75,-0.5,3.83E-05,10625.33097,0.021232097
47,167,-0.015669849,0.05577806,0.073086224,-0.754406507,0.633022222,-0.173648178,3.95E-05,9151.681518,0.014355465
101,192,-0.013921953,0.055389594,0.06528762,-0.492403877,0.852868532,-0.173648178,4.05E-05,12436.43735,0.025537768
261,193,-0.013620272,0.052685082,0.065718181,-0.433012702,0.75,-0.5,4.03E-05,9155.887012,0.019694082
270,194,-0.014573921,0.054535147,0.067928873,-0.663413948,0.556670399,0.5,3.85E-05,17374.6774,0.020732402
391,279,-0.003795233,0.057080094,0.032681618,-0.171010072,0.96984631,-0.173648178,3.87E-05,11575.1647,0.018554935
298,308,-0.003123345,0.051611289,0.032219078,-0.754406507,0.633022222,-0.173648178,3.71E-05,12269.30587,0.015884017
368,432,-0.013138563,0.055622753,0.062405795,-0.492403877,0.852868532,-0.173648178,4.07E-05,11608.67877,0.024342835
336,446,-0.011767593,0.056260161,0.057902988,-0.492403877,0.852868532,-0.173648178,4.25E-05,9952.298151,0.018300363
426,501,-0.002142284,0.050165247,0.024531258,-0.433012702,0.75,-0.5,3.76E-05,10462.73001,0.01395609
453,517,-3.21E-05,0.059977017,0.024282005,-0.492403877,0.852868532,0.173648178,3.65E-05,11488.65678,0.0119162
