,retraction_ind,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,stress_induced
77,17,-0.007622691,0.073693983,0.076729998,-0.321393805,0.116977778,0.939692621,14561.21295
106,79,-0.015297594,0.060266107,0.072971143,-0.604022774,0.21984631,0.766044443,12921.84513
46,80,-0.015844645,0.058205783,0.074492313,-0.604022774,0.21984631,0.766044443,13086.9242
2,95,-0.001005515,0.039631873,0.058519002,-0.321393805,-0.556670399,0.766044443,28899.1771
139,115,-0.011703667,0.066491306,0.065234601,-0.433012702,0.75,0.5,16983.81657
18,193,-0.013620272,0.052685082,0.065718181,-0.604022774,0.21984631,0.766044443,19349.9298
198,280,-0.003628708,0.059092399,0.034490332,-0.26200263,0.21984631,-0.939692621,16508.91175
234,386,-0.009407742,0.055487093,0.051823571,-0.059391175,0.336824089,-0.939692621,20243.85292
268,387,-0.008279542,0.056447756,0.049333844,-0.171010072,0.296198133,-0.939692621,20677.73663
376,424,-0.000577953,0.054677669,0.021293901,0,0,-1,16777.2632
316,437,0.001799451,0.059398297,0.022404443,-0.433012702,0.75,-0.5,13676.60606
292,501,-0.002142284,0.050165247,0.024531258,-0.604022774,0.21984631,-0.766044443,13352.44234
455,564,-0.006498236,0.057876155,0.04527266,-0.059391175,0.336824089,-0.939692621,19646.37757
412,599,-0.002340467,0.049741864,0.037401032,-0.604022774,0.21984631,-0.766044443,17786.68081
386,606,0.001184194,0.045997735,0.038346659,-0.64278761,7.87E-17,-0.766044443,21140.62577
493,614,-0.010677975,0.055835158,0.055106301,-0.171010072,0.296198133,-0.939692621,19738.91395
509,653,-0.004535982,0.053959556,0.039591614,-0.433012702,0.75,-0.5,15782.74241
565,657,-0.003273902,0.062133305,0.038923487,-0.26200263,0.21984631,-0.939692621,14771.69419
587,678,-0.001251032,0.04751116,0.039516784,-0.26200263,0.21984631,-0.939692621,23284.61291
596,717,-0.010006608,0.060787626,0.054973565,-0.433012702,0.75,0.5,19770.57472
653,746,-0.003259051,0.049639512,0.040455036,-0.171010072,0.296198133,-0.939692621,24452.653
710,749,-0.005641029,0.05706453,0.042525113,-0.321393805,0.556670399,-0.766044443,17395.58778
740,767,-0.005691023,0.052609891,0.043846764,-0.433012702,0.75,-0.5,24614.82254
