,retraction_ind,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,stress_induced
46,9,-0.007129445,0.071206227,0.062003516,-0.433012702,0.75,-0.5,9644.397992
16,10,-0.008913908,0.07021708,0.064228825,-0.433012702,0.75,-0.5,10585.07517
20,11,-0.007490105,0.072157204,0.065187573,-0.433012702,0.75,0.5,9377.738376
2,15,-0.004950949,0.075518079,0.077552274,-0.433012702,0.75,0.5,9896.280767
30,16,-0.005995165,0.07475774,0.075112611,-0.25,0.433012702,0.866025404,9400.506176
52,17,-0.007622691,0.073693983,0.076729998,-0.433012702,0.25,0.866025404,17924.07555
82,18,-0.006516651,0.074287638,0.070792057,-0.433012702,0.75,0.5,7893.625944
103,19,-0.007743664,0.073371142,0.073516794,-0.433012702,0.75,0.5,9878.053239
90,20,-0.005220268,0.075180411,0.072990105,-0.25,0.433012702,0.866025404,10003.24389
67,45,0.000157791,0.034336239,0.075572558,-1.84E-16,-1,6.12E-17,8355.151305
70,46,0.002761252,0.034337264,0.07381241,-1.59E-16,-0.866025404,0.5,11123.32551
74,47,0.002705197,0.033405546,0.077077627,-0.75,-0.433012702,0.5,8475.781242
117,64,-0.005741233,0.071148671,0.058971532,-0.433012702,0.75,-0.5,9235.073795
131,65,-0.004665206,0.070892677,0.05695276,-0.25,0.433012702,-0.866025404,10413.35679
133,66,-0.006182137,0.069725499,0.057268832,-0.433012702,0.75,0.5,9892.312653
144,79,-0.015297594,0.060266107,0.072971143,-0.433012702,0.25,0.866025404,17292.76773
157,80,-0.015844645,0.058205783,0.074492313,-0.433012702,0.25,0.866025404,17328.15001
174,81,-0.0156483,0.060388926,0.075242795,-0.75,0.433012702,0.5,12025.38022
184,95,-0.001005515,0.039631873,0.058519002,-0.25,-0.433012702,0.866025404,25841.5896
199,114,-0.012684989,0.065341473,0.066714987,-0.433012702,0.25,0.866025404,11573.07936
212,115,-0.011703667,0.066491306,0.065234601,-0.433012702,0.75,0.5,16983.81657
250,116,-0.012413685,0.064510159,0.064524479,-0.433012702,0.75,-0.5,7941.63068
195,143,0.005709123,0.039390378,0.019593423,-0.5,-0.866025404,6.12E-17,8114.542455
229,160,0.002813382,0.044187527,0.027467342,-9.18E-17,-0.5,-0.866025404,8610.033111
194,161,0.004524421,0.043048736,0.026200306,-1.59E-16,-0.866025404,-0.5,8946.556448
231,162,0.004983847,0.043508746,0.028599646,-0.433012702,-0.75,-0.5,6779.796501
241,163,-0.003800925,0.036158685,0.074806646,-1.84E-16,-1,6.12E-17,9170.163194
256,164,-0.002460294,0.034910105,0.076922424,-1.59E-16,-0.866025404,0.5,10291.90427
261,165,-0.004895665,0.036128972,0.076666772,-0.866025404,1.06E-16,0.5,12394.26757
279,166,-0.01503684,0.053202383,0.070946276,-0.75,0.433012702,0.5,14497.70319
320,167,-0.015669849,0.05577806,0.073086224,-0.433012702,0.75,-0.5,11926.67544
324,168,-0.015182666,0.056567479,0.070219517,-0.5,6.12E-17,0.866025404,14959.94833
274,169,0.000998744,0.045678522,0.028987834,-0.433012702,-0.25,-0.866025404,10096.72675
307,170,-0.00070426,0.047163062,0.027540015,-9.18E-17,-0.5,-0.866025404,9830.396492
296,171,0.000948274,0.045394227,0.026009358,-0.25,-0.433012702,-0.866025404,6702.275774
369,172,-0.004195399,0.057848778,0.036893759,-0.433012702,0.25,-0.866025404,15014.22109
379,173,-0.004078443,0.056779016,0.03504834,-0.75,0.433012702,-0.5,10778.91583
399,174,-0.004199527,0.054883171,0.037000943,-0.5,6.12E-17,-0.866025404,10801.39343
346,175,-0.002903088,0.071453996,0.055657376,-0.25,0.433012702,-0.866025404,9317.490145
353,176,-0.003478578,0.072363243,0.058004595,-0.433012702,0.75,-0.5,9486.324044
406,192,-0.013921953,0.055389594,0.06528762,-0.5,0.866025404,6.12E-17,15803.0597
435,193,-0.013620272,0.052685082,0.065718181,-0.75,0.433012702,0.5,16842.97913
448,194,-0.014573921,0.054535147,0.067928873,-0.866025404,1.06E-16,0.5,14094.01679
413,201,0.005054997,0.075942613,0.059154719,-0.433012702,0.75,0.5,6171.345778
422,202,0.00310863,0.074863754,0.057184212,-0.5,0.866025404,6.12E-17,6977.589266
428,203,0.001657142,0.075379007,0.059316851,-0.433012702,0.75,0.5,6668.411662
467,207,-0.006183247,0.067207985,0.053786799,-0.25,0.433012702,-0.866025404,13023.06742
478,208,-0.004251283,0.068429664,0.052673116,-0.25,0.433012702,-0.866025404,11732.69138
489,209,-0.00516601,0.066665627,0.051418144,-0.25,0.433012702,-0.866025404,13406.35347
533,279,-0.003795233,0.057080094,0.032681618,-0.433012702,0.25,-0.866025404,14935.92069
510,280,-0.003628708,0.059092399,0.034490332,-0.25,0.433012702,-0.866025404,17010.59239
492,294,-0.001457673,0.074174464,0.059325621,-0.433012702,0.75,0.5,7233.318271
521,295,-0.001475025,0.072950356,0.056798887,-0.25,0.433012702,-0.866025404,8137.268839
545,308,-0.003123345,0.051611289,0.032219078,-0.5,6.12E-17,-0.866025404,11135.72085
559,309,-0.003458444,0.05233844,0.035170101,-0.75,0.433012702,-0.5,11973.47828
596,310,-0.00382157,0.054213606,0.032536447,-0.433012702,0.25,-0.866025404,16437.91262
567,311,-0.000859556,0.077257916,0.06888973,-0.25,0.433012702,0.866025404,8026.240962
578,312,-0.000880875,0.077286154,0.071803175,-0.433012702,0.75,0.5,8881.926795
550,313,0.001429294,0.078054093,0.070601985,-0.433012702,0.75,0.5,5661.953122
603,333,0.005839676,0.032686748,0.078592643,-0.866025404,-0.5,6.12E-17,6457.485232
642,339,-0.004579102,0.06573426,0.049091294,-0.433012702,0.75,-0.5,10328.00332
633,340,-0.006100621,0.06471613,0.05064223,-0.25,0.433012702,-0.866025404,12738.19443
608,364,0.003471017,0.039384518,0.018724782,-1.84E-16,-1,6.12E-17,13621.39374
614,383,0.000853202,0.043714974,0.020221548,-0.75,-0.433012702,-0.5,10542.17668
620,385,0.002129391,0.041393753,0.019396752,-0.5,-0.866025404,6.12E-17,10685.2328
667,386,-0.009407742,0.055487093,0.051823571,-0.433012702,0.25,-0.866025404,16759.09564
681,387,-0.008279542,0.056447756,0.049333844,-0.433012702,0.25,-0.866025404,16887.2994
708,388,-0.008129513,0.054180317,0.049072791,-0.75,0.433012702,0.5,14168.2183
654,400,0.000172565,0.035086691,0.073162101,-1.84E-16,-1,6.12E-17,8808.458744
684,402,-0.015722305,0.049715105,0.077847965,-0.5,6.12E-17,0.866025404,16215.98714
699,403,-0.014791193,0.047547221,0.076750338,-0.866025404,1.06E-16,0.5,11820.78646
727,408,0.005738521,0.069757216,0.044564027,-0.433012702,0.75,-0.5,7219.435162
741,410,-0.001656921,0.057876617,0.024877911,-0.433012702,0.25,-0.866025404,12124.97557
768,411,-0.000324559,0.057396822,0.022699552,-0.433012702,0.25,-0.866025404,13997.1162
816,412,-0.001949036,0.055200487,0.023626246,0,0,-1,13889.10832
748,413,-0.000505254,0.04632457,0.021023899,-0.866025404,-0.5,6.12E-17,15027.77832
787,415,0.001146571,0.054173227,0.018925115,0,0,-1,15094.0893
800,416,0.003417755,0.05618678,0.01882421,0,0,-1,14044.74688
831,424,-0.000577953,0.054677669,0.021293901,0,0,-1,16777.2632
864,425,0.001453457,0.056782,0.020718968,-0.433012702,0.25,-0.866025404,12412.05475
849,429,0.00429449,0.06106244,0.022544758,-0.25,0.433012702,-0.866025404,14739.93113
836,432,-0.013138563,0.055622753,0.062405795,-0.5,0.866025404,6.12E-17,13213.62603
881,433,-0.012533587,0.056701362,0.060199197,-0.25,0.433012702,-0.866025404,13463.51162
891,434,-0.012194345,0.054359335,0.059705678,-0.433012702,0.75,-0.5,11920.46986
897,435,0.002683536,0.042518802,0.022009928,-0.75,-0.433012702,-0.5,6976.1817
914,436,0.0037639,0.058563162,0.020680381,-0.25,0.433012702,-0.866025404,13785.57755
928,437,0.001799451,0.059398297,0.022404443,-0.25,0.433012702,-0.866025404,17179.44149
935,442,-0.000703737,0.051769618,0.019873895,-0.5,0.866025404,6.12E-17,15369.13733
969,443,-0.001865657,0.052352428,0.022636186,-0.5,0.866025404,6.12E-17,11942.14891
904,444,0.000868694,0.044662461,0.02306075,-0.433012702,-0.75,-0.5,13811.86101
960,446,-0.011767593,0.056260161,0.057902988,-0.25,0.433012702,-0.866025404,13857.78199
1000,447,-0.01207749,0.058736037,0.059082679,-0.25,0.433012702,-0.866025404,15688.89297
962,448,0.004426434,0.040676154,0.020851385,-1.84E-16,-1,6.12E-17,11189.70036
968,449,0.005265414,0.041910082,0.023689717,-1.59E-16,-0.866025404,-0.5,13702.67856
1039,455,0.002104776,0.061975513,0.024255887,0,0,-1,13753.9029
1008,456,0.004729584,0.06366419,0.024593074,-0.25,0.433012702,-0.866025404,11909.07636
986,462,0.00279122,0.043510493,0.024734125,-0.433012702,-0.75,-0.5,12269.7583
1020,471,0.005165245,0.065732695,0.027348207,-0.25,0.433012702,-0.866025404,9567.029468
1050,478,-0.003397872,0.058170311,0.029898146,-0.433012702,0.25,-0.866025404,13635.43842
1063,479,-0.00202595,0.061096251,0.028725242,-0.25,0.433012702,-0.866025404,15595.56557
1103,480,-0.002652742,0.058283053,0.027246729,0,0,-1,14616.8446
1087,481,0.002420136,0.064239167,0.026611956,0,0,-1,10900.12847
1121,485,-0.002854937,0.052876923,0.025136858,-0.5,0.866025404,6.12E-17,12887.14864
1071,489,-0.006924135,0.04057065,0.067979306,-1.59E-16,-0.866025404,0.5,15996.13982
1108,490,-0.004606814,0.039051153,0.067403749,-1.59E-16,-0.866025404,0.5,16073.49571
1116,491,-0.005505783,0.038863081,0.069976322,-1.59E-16,-0.866025404,0.5,13733.67693
1161,494,-0.002942748,0.05568495,0.025988445,-0.433012702,0.75,-0.5,13066.2799
1139,499,0.005578499,0.067050129,0.030259985,-0.433012702,0.75,-0.5,8408.272698
1153,500,0.002874334,0.065911271,0.029370714,-0.25,0.433012702,-0.866025404,13165.86759
1191,501,-0.002142284,0.050165247,0.024531258,-0.25,0.433012702,-0.866025404,17767.70731
1174,502,-0.000812638,0.047312304,0.024350192,-0.75,0.433012702,-0.5,9236.087758
1199,503,-0.001883285,0.048796006,0.026462808,-0.866025404,-0.5,6.12E-17,13038.70555
1218,517,-3.21E-05,0.059977017,0.024282005,-0.25,0.433012702,-0.866025404,13678.66068
1235,518,-0.001410644,0.060088634,0.026158163,-0.433012702,0.25,-0.866025404,11920.88392
1278,519,-0.003488783,0.055893596,0.028531363,-0.433012702,0.25,-0.866025404,13774.74205
1241,520,-0.011925875,0.068477593,0.071341693,-0.433012702,0.25,0.866025404,11307.55655
1253,521,-0.012664865,0.066654995,0.068908542,-0.25,0.433012702,0.866025404,15574.1866
