,retraction_ind,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,area_exposed,stress_induced,displacement
100,26,-0.00809840206057,0.0516249462962,0.0584161654115,-0.4924038765061038,0.8528685319524433,-0.1736481776669303,2.2357646998291412e-05,5556.773906019056,0.0026575513361777
137,27,-0.0085952533409,0.0510185845196,0.0558258332312,-0.4924038765061038,0.8528685319524433,-0.1736481776669303,2.2881685073402077e-05,6241.029733354108,0.0028381127391617
57,28,-0.00789995491505,0.0490396693349,0.0574173592031,-0.4924038765061038,0.8528685319524433,0.1736481776669304,2.237921430278533e-05,7007.455730171867,0.0030564637538564
19,94,-0.00662623206154,0.0430974178016,0.0517224818468,-0.7544065067354888,0.6330222215594892,0.1736481776669304,2.38171016670574e-05,11261.389455002538,0.0039253802846551
189,95,-0.00558502413332,0.0423190034926,0.0540589056909,-0.7544065067354888,0.6330222215594892,0.1736481776669304,2.335667671356841e-05,10599.037433871435,0.0036496080278363
225,97,-0.0072901956737,0.0435984544456,0.0490976721048,-0.7544065067354888,0.6330222215594892,-0.1736481776669303,2.3939120654773643e-05,9957.839194448075,0.0034223763302849
154,143,0.00542636495084,0.0348400622606,0.0541426390409,-0.6427876096865393,7.871877887341985e-17,0.766044443118978,2.24748729442186e-05,16016.647229216964,0.0040779380464124
268,362,-0.00860756915063,0.0499371886253,0.0267445705831,-0.1710100716628343,0.969846310392954,-0.1736481776669303,2.33795213873346e-05,7021.884464004289,0.002102052600076
242,373,-0.00115280156024,0.0346563905478,0.0359915308654,-0.9254165783983233,0.3368240888334653,0.1736481776669304,2.6053862094648028e-05,18276.67716007673,0.0042834699002947
310,383,-0.000870504823979,0.0367722548544,0.0506713055074,-0.8137976813493736,0.2961981327260239,0.5000000000000001,2.5302394845912526e-05,19522.07064562461,0.0051576358905413
383,393,-0.00915745459497,0.0497639477253,0.0430220402777,-0.4924038765061038,0.8528685319524433,-0.1736481776669303,2.3809068405005552e-05,7787.767098010859,0.0028485290481449
350,394,-0.0095440261066,0.0518123209476,0.0456265844405,-0.4330127018922192,0.7500000000000001,-0.4999999999999998,2.3106933194562256e-05,6154.3833395298925,0.0023177032178573
420,395,-0.00926978792995,0.0525456629694,0.0426130183041,-0.4924038765061038,0.8528685319524433,-0.1736481776669303,2.2771654904978364e-05,6203.241500957889,0.0024680467120679
453,423,-0.00843735225499,0.0475951656699,0.0244611334056,-0.1710100716628343,0.969846310392954,-0.1736481776669303,2.3371473574596984e-05,7407.046075416286,0.0021737672900954
537,513,-0.00891963019967,0.0489066876471,0.0378320291638,-0.4924038765061038,0.8528685319524433,-0.1736481776669303,2.394905857641052e-05,8315.200115912823,0.0027128880451517
497,514,-0.00842793192714,0.0461116395891,0.0379281900823,-0.4924038765061038,0.8528685319524433,0.1736481776669304,2.367616143775946e-05,8448.777465251285,0.0028250124723398
576,515,-0.00866911467165,0.0476264245808,0.040703304112,-0.4924038765061038,0.8528685319524433,-0.1736481776669303,2.4469931142673893e-05,8991.120681823544,0.003044426311898
613,531,-0.00641826912761,0.0421566218138,0.0421793609858,-0.7544065067354888,0.6330222215594892,-0.1736481776669303,2.4970089799675637e-05,11980.345439754532,0.0036452245740159
646,532,-0.00502603920177,0.0402043238282,0.0429181829095,-0.9254165783983233,0.3368240888334653,-0.1736481776669303,2.4351949744506345e-05,14232.82691087928,0.0039088351162246
681,533,-0.00631423806772,0.0418814048171,0.0446599125862,-0.7544065067354888,0.6330222215594892,-0.1736481776669303,2.516506515664687e-05,12812.656987539936,0.0038486873295664
703,560,-0.00546399131417,0.0405708253384,0.0402585156262,-0.6634139481689383,0.5566703992264195,0.5000000000000001,2.3692773850474236e-05,11338.93755207803,0.0038686232623732
741,561,-0.00642961729318,0.0410981550813,0.0374612174928,-0.7544065067354888,0.6330222215594892,-0.1736481776669303,2.4319001209855335e-05,11021.618752584887,0.0033184100099453
774,562,-0.0044796760194,0.0386834219098,0.0381385162473,-0.8137976813493737,0.2961981327260239,-0.4999999999999998,2.4168483641903507e-05,14541.911444043471,0.0038910161706594
810,611,-0.00949127227068,0.0513478256762,0.051074616611,-0.4924038765061038,0.8528685319524433,-0.1736481776669303,2.313314579915241e-05,6408.7248445621335,0.0028372667365633
846,612,-0.00966375228018,0.05298056826,0.0487614050508,-0.4924038765061038,0.8528685319524433,-0.1736481776669303,2.2613186237774106e-05,5660.971759119006,0.0025518030878277
885,613,-0.00942449178547,0.0498640350997,0.0483486317098,-0.4924038765061038,0.8528685319524433,-0.1736481776669303,2.3634707644537736e-05,7194.567312725283,0.0029767840975847
921,614,-0.00906627997756,0.0485140159726,0.0455505140126,-0.4924038765061038,0.8528685319524433,-0.1736481776669303,2.4382537590158788e-05,8467.844147577875,0.0031101850560264
993,633,-0.00892824493349,0.0499720908701,0.0534103661776,-0.4924038765061038,0.8528685319524433,-0.1736481776669303,2.314466634290365e-05,6517.754664651789,0.0029060568638293
1031,634,-0.00917159859091,0.0530827715993,0.0537247173488,-0.4924038765061038,0.8528685319524433,-0.1736481776669303,2.269630051612143e-05,5787.45116245698,0.002706141711128
948,661,-0.00576189765707,0.038712952286,0.0354734957218,-0.7544065067354888,0.6330222215594892,0.1736481776669304,2.377097620229314e-05,9399.081989929684,0.0030023578877593
1089,699,-0.00868615880609,0.0532911792397,0.0346840880811,-0.1503837331804352,0.8528685319524433,-0.4999999999999998,2.3384303391591443e-05,6872.21281961601,0.002170316616605
1049,711,-0.00709437625483,0.0366716869175,0.0311345756054,-0.7544065067354888,0.6330222215594892,0.1736481776669304,2.2788423905491936e-05,7223.210250394813,0.0023793500029689
1120,712,-0.00860460940748,0.0371868014336,0.0286103580147,-0.7544065067354888,0.6330222215594892,-0.1736481776669303,2.2881086847858268e-05,8285.433983471174,0.0024914286428549
1161,740,-0.00731574185193,0.0494766272604,0.0600880458951,-0.4924038765061038,0.8528685319524433,0.1736481776669304,2.2550709229329107e-05,7035.13593238713,0.0032072221624265
1222,824,-0.00977429561317,0.0413343496621,0.0253193192184,-0.4330127018922192,0.7500000000000001,-0.4999999999999998,2.32064953903522e-05,9268.55325354196,0.0027933085274832
1185,825,-0.00965715758502,0.0402146056294,0.0283269882202,-0.4924038765061038,0.8528685319524433,-0.1736481776669303,2.388683104117783e-05,8774.270077937863,0.0025486171223941
1263,826,-0.0100671034306,0.0435896962881,0.0277513079345,-0.4330127018922192,0.7500000000000001,-0.4999999999999998,2.3545233397219712e-05,9190.491520696476,0.0027978580120144
1302,871,-0.00910809636116,0.0500455349684,0.0350445210934,-0.4330127018922192,0.7500000000000001,-0.4999999999999998,2.344600573275191e-05,8016.856135865985,0.0025011328592153
1337,872,-0.00895150564611,0.0471065938473,0.0353895649314,-0.4330127018922192,0.7500000000000001,-0.4999999999999998,2.445066869550362e-05,10027.022561026442,0.002924234901375
