,retraction_ind,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,stress_induced
38,160,0.002813382,0.044187527,0.027467342,-1.30E-16,-0.707106781,-0.707106781,19400.04844
139,170,-0.00070426,0.047163062,0.027540015,-1.30E-16,-0.707106781,-0.707106781,29722.10084
45,208,-0.004251283,0.068429664,0.052673116,-0.5,0.5,0.707106781,17985.66679
79,209,-0.00516601,0.066665627,0.051418144,-0.612372436,0.353553391,0.707106781,20259.51676
218,347,0.002241379,0.048710439,0.012493946,-0.129409523,0.224143868,-0.965925826,18393.61035
7,364,0.003471017,0.039384518,0.018724782,-1.84E-16,-1,6.12E-17,24629.56112
147,388,-0.008129513,0.054180317,0.049072791,-0.683012702,0.183012702,0.707106781,28872.35117
285,392,-0.000503699,0.048397969,0.018508283,0,0,-1,23368.11017
334,393,0.000814472,0.048546735,0.015486839,0,0,-1,21363.20311
478,412,-0.001949036,0.055200487,0.023626246,-0.224143868,0.129409523,-0.965925826,23731.93561
426,415,0.001146571,0.054173227,0.018925115,0,0,-1,24438.78651
599,424,-0.000577953,0.054677669,0.021293901,0,0,-1,22595.43375
541,437,0.001799451,0.059398297,0.022404443,0,0,-1,19674.05133
651,455,0.002104776,0.061975513,0.024255887,-0.129409523,-0.224143868,-0.965925826,25322.44699
335,459,-0.005700919,0.045838386,0.050991237,-0.707106781,8.66E-17,0.707106781,19108.97385
702,479,-0.00202595,0.061096251,0.028725242,-0.066987298,0.25,-0.965925826,22224.73617
762,480,-0.002652742,0.058283053,0.027246729,-0.066987298,0.25,-0.965925826,25361.86061
877,485,-0.002854937,0.052876923,0.025136858,-0.258819045,3.17E-17,-0.965925826,27056.4445
1053,494,-0.002942748,0.05568495,0.025988445,-0.25,0.066987298,-0.965925826,25245.86471
925,501,-0.002142284,0.050165247,0.024531258,-0.482962913,-0.129409523,-0.866025404,29692.96363
819,503,-0.001883285,0.048796006,0.026462808,-0.224143868,-0.129409523,-0.965925826,29447.92557
950,517,-3.21E-05,0.059977017,0.024282005,-0.25,0.933012702,-0.258819045,22128.74237
1109,518,-0.001410644,0.060088634,0.026158163,-0.066987298,0.25,-0.965925826,22346.56399
1241,519,-0.003488783,0.055893596,0.028531363,-0.25,0.066987298,-0.965925826,28867.30368
1122,526,-0.007024543,0.065001719,0.052604228,-0.5,0.5,0.707106781,21636.38255
1184,545,0.003044619,0.044569742,0.030325593,-0.129409523,-0.482962913,-0.866025404,27607.72816
1389,557,-0.003433145,0.053372823,0.027642448,-0.224143868,0.129409523,-0.965925826,30189.27215
1280,559,0.000273419,0.063986741,0.028911032,-0.25,0.433012702,-0.866025404,18580.15738
1435,560,-0.002965763,0.060176354,0.031887908,-0.183012702,0.683012702,0.707106781,23886.50048
1333,564,-0.006498236,0.057876155,0.04527266,-0.433012702,0.75,-0.5,28823.03878
1596,612,-0.003499688,0.060631052,0.036597803,-0.25,-0.066987298,-0.965925826,26309.48551
1396,613,-0.011178724,0.053625189,0.057032555,-0.612372436,0.353553391,0.707106781,20326.71745
1496,703,-0.004403987,0.061037712,0.041207679,-0.683012702,0.183012702,0.707106781,20205.06189
1619,704,-0.004287654,0.059434291,0.038972855,-0.258819045,0.965925826,6.12E-17,22976.65613
1759,705,-0.004986033,0.058717351,0.041068546,-0.683012702,0.183012702,0.707106781,23402.46229
1657,717,-0.010006608,0.060787626,0.054973565,-0.433012702,0.75,0.5,25735.17196
1692,726,-0.009265567,0.066054322,0.057740472,-0.353553391,0.612372436,0.707106781,21044.66333
1804,748,-0.005455303,0.059699986,0.043352604,-0.353553391,0.612372436,0.707106781,22517.76009
1890,753,-0.004513776,0.062510364,0.043866549,-0.353553391,0.612372436,0.707106781,19024.51729
1849,768,-0.006913273,0.053365014,0.046476107,-0.683012702,0.183012702,0.707106781,28030.45797
1732,815,0.001162845,0.042704891,0.046573754,-0.183012702,-0.683012702,0.707106781,20771.88068
1971,833,-0.006163177,0.060995042,0.046494443,-0.5,0.5,0.707106781,22169.67665
1939,834,-0.007599935,0.060764447,0.049598172,-0.75,0.433012702,0.5,24019.2514
2013,840,-0.007481855,0.062888697,0.051274382,-0.5,0.5,0.707106781,22267.36481
2059,850,-0.007403782,0.051624354,0.048615679,-0.866025404,1.06E-16,0.5,22038.92469
2088,851,-0.006584621,0.047882397,0.050181177,-0.707106781,8.66E-17,0.707106781,23509.63496
2127,852,-0.006322735,0.04921633,0.048239138,-0.5,-0.5,0.707106781,23721.0261
2195,863,-0.007509181,0.058389254,0.048057619,-0.683012702,0.183012702,0.707106781,24549.99994
2162,871,-0.002503522,0.0683553,0.050169617,-0.5,0.5,0.707106781,17662.28068
2234,890,-0.007565176,0.047559399,0.052874394,-0.707106781,8.66E-17,0.707106781,20450.51939
2299,891,-0.007798691,0.049810305,0.050706159,-0.683012702,-0.183012702,0.707106781,32697.03889
2340,907,-0.009053668,0.050281145,0.053495094,-0.75,0.433012702,0.5,23322.21521
2429,1038,-0.014099742,0.060665198,0.066742614,-0.25,0.933012702,0.258819045,20825.88529
2404,1062,-0.012949108,0.058685955,0.061774243,-0.707106781,-0.707106781,6.12E-17,23329.37094
2274,1098,0.001662711,0.040533639,0.050806195,-1.30E-16,-0.707106781,0.707106781,21118.52114
