,retraction_ind,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,stress_induced
13,9,-0.007129445,0.071206227,0.062003516,-0.5,0.5,0.707106781,15554.65362
9,10,-0.008913908,0.07021708,0.064228825,-0.5,0.5,0.707106781,14956.07407
17,11,-0.007490105,0.072157204,0.065187573,-0.5,0.5,0.707106781,6874.584244
0,64,-0.005741233,0.071148671,0.058971532,-0.5,0.5,0.707106781,15739.57245
3,65,-0.004665206,0.070892677,0.05695276,-0.5,0.5,0.707106781,13699.59956
6,66,-0.006182137,0.069725499,0.057268832,-0.5,0.5,0.707106781,14131.76906
24,67,-0.000533488,0.030133218,0.010771919,-0.5,-0.5,-0.707106781,7237.209942
35,68,-0.000138736,0.029394388,0.007890466,-0.5,0.5,-0.707106781,11667.56123
52,69,0.000814605,0.02759134,0.009716917,-0.707106781,-0.707106781,6.12E-17,11529.17483
29,94,0.001661781,0.039082255,0.056662932,-0.5,-0.5,0.707106781,13826.53561
25,95,-0.001005515,0.039631873,0.058519002,-0.5,-0.5,0.707106781,12265.59546
40,96,-0.000494766,0.040270951,0.05505858,-0.5,-0.5,0.707106781,13449.32772
48,114,-0.012684989,0.065341473,0.066714987,-0.5,0.5,0.707106781,9212.717222
45,115,-0.011703667,0.066491306,0.065234601,-0.707106781,8.66E-17,0.707106781,10746.09088
58,116,-0.012413685,0.064510159,0.064524479,-0.707106781,8.66E-17,0.707106781,8424.440824
61,143,0.005709123,0.039390378,0.019593423,-0.707106781,-0.707106781,6.12E-17,5314.165833
78,160,0.002813382,0.044187527,0.027467342,-1.30E-16,-0.707106781,-0.707106781,19400.04844
65,161,0.004524421,0.043048736,0.026200306,-1.30E-16,-0.707106781,-0.707106781,14451.5448
70,162,0.004983847,0.043508746,0.028599646,-0.5,-0.5,-0.707106781,15801.32442
84,170,-0.00070426,0.047163062,0.027540015,-1.30E-16,-0.707106781,-0.707106781,29722.10084
93,171,0.000948274,0.045394227,0.026009358,-1.30E-16,-0.707106781,-0.707106781,15784.29438
