,retraction_ind,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,stress_induced
46,8,-0.011388579,0.020418325,0.050092433,-0.433012702,-0.25,0.866025404,14781.59191
110,9,-0.01129378,0.017868599,0.048596177,-0.5,6.12E-17,0.866025404,13171.4259
6,10,-0.010988367,0.018158648,0.05161703,-0.866025404,1.06E-16,0.5,12749.74384
76,11,-0.011342216,0.020591324,0.047306988,-0.433012702,0.25,0.866025404,14610.57743
29,12,-0.011410641,0.018469863,0.045746099,-0.433012702,0.25,0.866025404,13118.47416
95,18,-0.011223796,0.016216347,0.046484798,-0.25,-0.433012702,0.866025404,16868.54655
61,19,-0.01133911,0.016831823,0.044514507,-0.5,6.12E-17,0.866025404,15081.16561
15,20,-0.011308794,0.016173188,0.042566907,-0.5,6.12E-17,0.866025404,16046.29471
151,21,-0.011106961,0.014876165,0.044614937,-0.866025404,1.06E-16,0.5,15407.82822
130,22,-0.001751288,-0.013500715,0.027297707,-1.59E-16,-0.866025404,0.5,13967.9829
177,25,-0.010971632,0.015041497,0.039958525,-0.5,6.12E-17,0.866025404,18943.06745
167,26,-0.010981016,0.014130392,0.042582586,-0.75,-0.433012702,0.5,16611.08106
248,27,-0.010668677,0.015470961,0.048381876,-0.5,6.12E-17,0.866025404,12425.81371
198,28,-0.010355474,0.015731959,0.050566915,-0.5,6.12E-17,0.866025404,11812.56206
228,29,-0.010476401,0.01398065,0.046858855,-9.18E-17,-0.5,0.866025404,13164.86766
136,35,-0.009570417,0.022632172,0.04084364,-0.866025404,1.06E-16,0.5,23809.72641
214,36,-0.008736235,0.024921726,0.042685483,-0.433012702,0.75,0.5,21709.84945
192,41,-0.005143166,0.028776357,0.043867983,-0.433012702,0.75,0.5,20954.33979
242,42,-0.004778287,0.030079173,0.046163414,-0.433012702,0.75,0.5,14313.62388
266,43,-0.003199251,0.030185647,0.04492658,-0.433012702,0.75,0.5,17345.13293
271,44,-0.003040209,0.031310454,0.046915084,-0.433012702,0.75,0.5,13462.95365
276,45,-0.005604568,0.031111255,0.048543822,-0.433012702,0.75,0.5,15123.82297
381,46,-0.007986656,0.008190782,0.040460989,-9.18E-17,-0.5,0.866025404,13673.28502
366,47,-0.007033667,0.006517639,0.038480602,-0.75,-0.433012702,0.5,10260.02341
348,48,-0.005932712,0.006450623,0.040922638,-1.59E-16,-0.866025404,0.5,9543.429963
295,51,-0.011080096,0.020675402,0.04457166,-0.5,6.12E-17,0.866025404,21866.36289
404,60,-0.010169859,0.012297194,0.044473264,-0.75,-0.433012702,0.5,13564.72133
310,63,-0.011113027,0.017952237,0.040708929,-0.5,6.12E-17,0.866025404,18354.03343
282,65,-0.010170782,0.022841219,0.043554839,-0.5,6.12E-17,0.866025404,19764.45186
325,66,-0.01075468,0.020460987,0.041918218,-0.433012702,0.25,0.866025404,21182.53161
461,67,-0.010399981,0.012310112,0.041280635,-0.75,-0.433012702,0.5,17131.41476
356,68,-0.000539599,0.030818917,0.045194648,-0.433012702,0.75,0.5,13269.62273
416,69,-0.002215289,0.02943168,0.042842336,-0.433012702,0.75,0.5,22209.60434
500,71,-0.009180965,0.00801322,0.0349649,-0.5,-0.866025404,6.12E-17,11409.30579
518,72,-0.008591151,0.008311287,0.037813075,-0.5,-0.866025404,6.12E-17,15914.68247
