,retraction_ind,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,stress_induced
18,51,-0.011080096,0.020675402,0.04457166,-0.925416578,-0.336824089,0.173648178,11778.20924
159,72,-0.008591151,0.008311287,0.037813075,-0.321393805,-0.116977778,0.939692621,21495.74645
127,103,-0.010214028,0.012429648,0.035460088,-0.492403877,-0.413175911,0.766044443,21891.5786
52,105,-0.010511908,0.014878996,0.036671095,-0.754406507,-0.633022222,-0.173648178,15097.63359
109,165,-0.008059055,-0.011018436,0.02485794,-0.492403877,-0.852868532,0.173648178,11075.52543
238,207,-0.009899752,0.010348526,0.034490053,-0.342020143,4.19E-17,0.939692621,25107.79582
70,260,-0.006790511,0.005009166,0.017366743,-0.433012702,-0.75,-0.5,20237.60848
203,376,-0.009520398,0.001462494,0.027585249,-0.059391175,-0.336824089,0.939692621,18316.13098
423,377,-0.008324786,-0.000868395,0.02868522,-0.433012702,-0.75,-0.5,18893.22305
489,378,-0.008293796,0.001518043,0.030139772,-0.492403877,-0.852868532,0.173648178,16839.2375
323,384,-0.008920521,0.013688827,0.051794536,0,0,1,21098.35295
441,403,-0.006107646,-0.016227785,0.020816803,-0.492403877,-0.852868532,0.173648178,13286.28979
290,415,-0.008312767,0.019392176,0.033378128,-0.984807753,1.21E-16,0.173648178,24121.03728
359,416,-0.00986874,0.017212637,0.034903668,-0.64278761,7.87E-17,0.766044443,19777.0862
543,434,-0.009432564,-0.012184303,0.019509293,-0.150383733,-0.852868532,0.5,11021.70396
312,452,-0.006136055,0.020927764,0.031894516,-0.984807753,1.21E-16,0.173648178,25134.63918
575,453,-0.007426862,0.018767703,0.030684067,-0.813797681,0.296198133,0.5,28635.73162
501,502,-0.001635835,0.022975465,0.031501491,-0.150383733,0.852868532,0.5,22883.73729
515,503,-0.004248637,0.022979688,0.032858811,-0.433012702,0.75,0.5,21411.97832
677,519,-0.004090087,0.003008556,0.036361877,-0.171010072,-0.296198133,0.939692621,20502.26716
608,614,-0.003381894,0.008133085,0.016933881,-0.111618897,-0.633022222,-0.766044443,22568.08175
657,620,-0.006035498,0.007503504,0.017862448,-0.321393805,-0.556670399,-0.766044443,26778.78286
720,621,-0.008228618,0.006362552,0.019318884,-0.433012702,-0.75,-0.5,21219.92005
628,622,-0.000423426,0.008557373,0.016642937,-0.111618897,-0.633022222,-0.766044443,24547.9879
784,646,-0.009728807,0.004828489,0.021124719,-0.492403877,-0.852868532,-0.173648178,24856.71074
751,657,-0.00748694,0.009046373,0.019956699,-0.663413948,-0.556670399,-0.5,24791.7812
826,658,-0.009232295,0.007638778,0.021668509,-0.433012702,-0.75,-0.5,26983.78855
845,662,-0.010206837,0.005836428,0.023770874,-0.492403877,-0.413175911,0.766044443,22995.13909
890,667,-0.008501276,0.010403568,0.022353021,-0.754406507,-0.633022222,-0.173648178,27903.50887
995,668,-0.010303291,0.003773523,0.025919516,-0.321393805,-0.556670399,0.766044443,19114.37394
918,670,-0.009172318,0.011511004,0.025031239,-0.813797681,-0.296198133,0.5,31890.60096
966,671,-0.009791817,0.008726143,0.024395432,-0.492403877,-0.852868532,-0.173648178,24482.13265
1029,675,-0.007194393,0.002567513,0.016671956,-0.866025404,1.06E-16,-0.5,17775.18022
1170,689,-0.00956571,0.004451523,0.029228009,-0.111618897,-0.633022222,0.766044443,23483.03535
1050,694,-0.006582742,0.001278197,0.032163534,0,0,1,21623.56089
1104,707,-0.001930422,0.001223148,0.035108168,-0.321393805,-0.556670399,0.766044443,16849.57835
1130,722,-0.00240751,-0.000854088,0.032990512,-0.171010072,-0.296198133,0.939692621,18750.20771
1232,729,-0.01003281,0.009758839,0.027232375,-0.492403877,-0.413175911,-0.766044443,31703.14404
1270,730,-0.010245431,0.006765419,0.026698053,-0.321393805,0.116977778,0.939692621,32360.95964
1256,734,-0.009558105,0.01252273,0.027736159,-0.754406507,-0.633022222,-0.173648178,29077.11525
1315,740,-0.010129574,0.010859487,0.030046584,-0.604022774,0.21984631,0.766044443,23990.61152
1497,751,-0.006317755,0.003136067,0.034276363,-0.433012702,-0.75,0.5,19373.93948
1365,761,-0.010032883,0.014574585,0.033676632,-0.925416578,-0.336824089,0.173648178,21874.53545
1449,768,-0.006459443,0.004844121,0.03648765,-0.492403877,-0.413175911,0.766044443,20119.21538
1389,773,-0.00968414,0.014036538,0.030480891,-0.866025404,1.06E-16,0.5,28272.78895
1530,789,-0.009114366,0.016810508,0.032015529,-0.754406507,-0.633022222,0.173648178,28305.1974
1417,799,-0.00174739,0.005536493,0.043216567,-0.059391175,-0.336824089,0.939692621,13026.55588
1570,888,-0.009134273,0.011715408,0.047554102,-0.321393805,0.116977778,0.939692621,13911.37286
1548,956,-0.008281913,0.016564382,0.029287158,-0.663413948,0.556670399,0.5,30456.11916
