,expert,level,activity,x,y,z,dx,dy,dz,F,id
5,1,2,3,-0.0101413410157,0.0119131067768,0.0327439270914,-0.81,0.57,-0.14,6.17,4
20,1,2,3,-0.0100328102708,0.00975883938372,0.0272323749959,-0.72,0.7,-0.03,3.4,21
35,0,2,3,-0.010129573755,0.010859486647,0.0300465840846,-0.71,0.7,-0.06,2.76,22
50,1,2,3,-0.00918096490204,0.0080132195726,0.0349649004638,-0.69,0.63,0.34,5.13,5
65,1,2,3,-0.00968413986266,0.0140365380794,0.0304808914661,-0.68,0.73,0.06,2.32,11
80,0,2,3,-0.0095657100901,0.00445152260363,0.0292280092835,-0.72,0.55,-0.43,2.54,23
95,0,2,3,-0.0100328102708,0.00975883938372,0.0272323749959,-0.68,0.74,0.04,2.93,24
110,1,2,3,-0.00979181658477,0.00872614327818,0.0243954323232,-0.72,0.54,-0.43,3.22,25
125,1,2,3,-0.00918096490204,0.0080132195726,0.0349649004638,-0.74,0.66,-0.13,3.9,26
140,0,2,3,-0.00950658321381,0.0102373277768,0.0395840667188,-0.7,0.61,0.37,5.09,27
155,0,2,3,-0.0102454312146,0.00676541915163,0.0266980528831,-0.64,0.76,0.11,2.69,28
170,0,2,3,-0.0102454312146,0.00676541915163,0.0266980528831,-0.7,0.58,-0.42,2.66,29
185,0,2,3,-0.00979181658477,0.00872614327818,0.0243954323232,-0.75,0.53,-0.4,3.85,30
200,0,2,3,-0.0092327427119,0.00637922715396,0.0321652553976,-0.68,0.72,0.14,3.11,31
215,0,2,3,-0.0102068372071,0.00583642814308,0.0237708743662,-0.66,0.58,0.48,7.86,32
