 Task1
new spring created 
Position: [-1.71, 39.26, 28.63] | Force: 0.0 | Vector: [-0.8, -0.58, 0.17]
Position: [-3.88, 58.94, 42.77] | Force: 0.0 | Vector: [-0.73, -0.68, 0.07]
Position: [-3.79, 60.05, 43.16] | Force: 0.0 | Vector: [-0.73, -0.68, 0.06]
Position: [-3.82, 60.43, 43.14] | Force: 0.0 | Vector: [-0.73, -0.68, 0.06]
Position: [-3.9, 60.93, 43.24] | Force: 0.0 | Vector: [-0.73, -0.68, 0.06]
Position: [-3.89, 61.34, 43.42] | Force: 0.0 | Vector: [-0.73, -0.69, 0.06]
Position: [-3.81, 61.62, 43.57] | Force: 0.0 | Vector: [-0.72, -0.69, 0.06]
Position: [-3.73, 61.84, 43.67] | Force: 0.0 | Vector: [-0.72, -0.69, 0.06]
Position: [-3.64, 62.0, 43.73] | Force: 0.0 | Vector: [-0.72, -0.69, 0.06]
Position: [-3.56, 62.21, 43.77] | Force: 0.69 | Vector: [-0.59, 0.48, -0.65]
Position: [-3.86, 62.65, 43.43] | Force: 0.74 | Vector: [-0.6, 0.46, -0.65]
Position: [-4.13, 63.07, 43.11] | Force: 2.25 | Vector: [-0.52, 0.35, -0.78]
Position: [-6.95, 65.11, 39.2] | Force: 1.98 | Vector: [-0.51, 0.32, -0.8]
Position: [-8.04, 66.02, 37.14] | Force: 1.97 | Vector: [-0.51, 0.29, -0.81]
Position: [-9.05, 66.73, 35.16] | Force: 2.04 | Vector: [-0.52, 0.28, -0.8]
Position: [-9.95, 67.42, 33.28] | Force: 2.08 | Vector: [-0.54, 0.28, -0.79]
Position: [-10.75, 67.96, 31.75] | Force: 1.97 | Vector: [-0.55, 0.27, -0.79]
Position: [-11.18, 68.31, 30.62] | Force: 1.86 | Vector: [-0.56, 0.27, -0.78]
Position: [-11.36, 68.48, 30.12] | Force: 1.81 | Vector: [-0.57, 0.27, -0.78]
Position: [-11.37, 68.53, 29.76] | Force: 1.78 | Vector: [-0.58, 0.27, -0.77]
Position: [-11.38, 68.58, 29.43] | Force: 1.75 | Vector: [-0.59, 0.27, -0.76]
Position: [-11.3, 68.53, 29.26] | Force: 1.84 | Vector: [-0.6, 0.28, -0.75]
Position: [-11.39, 68.58, 28.98] | Force: 2.14 | Vector: [-0.61, 0.29, -0.74]
Position: [-11.97, 68.78, 28.2] | Force: 2.24 | Vector: [-0.61, 0.28, -0.75]
Position: [-12.45, 68.93, 27.53] | Force: 2.2 | Vector: [-0.6, 0.28, -0.75]
Position: [-12.87, 69.01, 26.98] | Force: 2.18 | Vector: [-0.6, 0.28, -0.75]
Position: [-13.14, 69.04, 26.6] | Force: 2.53 | Vector: [-0.62, 0.3, -0.72]
Position: [-13.98, 69.36, 25.84] | Force: 2.57 | Vector: [-0.64, 0.31, -0.71]
Position: [-14.62, 69.65, 25.41] | Force: 2.57 | Vector: [-0.64, 0.32, -0.7]
Position: [-15.28, 69.93, 25.01] | Force: 2.53 | Vector: [-0.63, 0.32, -0.7]
Position: [-15.71, 70.14, 24.82] | Force: 2.49 | Vector: [-0.63, 0.32, -0.71]
Position: [-15.97, 70.26, 24.75] | Force: 2.47 | Vector: [-0.63, 0.32, -0.71]
Position: [-16.12, 70.36, 24.77] | Force: 2.46 | Vector: [-0.62, 0.31, -0.72]
Position: [-16.18, 70.41, 24.8] | Force: 2.46 | Vector: [-0.62, 0.31, -0.72]
Position: [-16.21, 70.48, 24.87] | Force: 2.46 | Vector: [-0.62, 0.31, -0.72]
Position: [-16.23, 70.52, 24.95] | Force: 2.46 | Vector: [-0.62, 0.31, -0.72]
Position: [-16.22, 70.54, 25.01] | Force: 2.47 | Vector: [-0.62, 0.31, -0.72]
Position: [-16.22, 70.53, 25.04] | Force: 2.47 | Vector: [-0.62, 0.31, -0.72]
Position: [-16.2, 70.52, 25.06] | Force: 2.47 | Vector: [-0.62, 0.31, -0.72]
Position: [-16.18, 70.49, 25.08] | Force: 2.48 | Vector: [-0.62, 0.31, -0.72]
Position: [-16.16, 70.48, 25.08] | Force: 2.48 | Vector: [-0.62, 0.31, -0.72]
Position: [-16.15, 70.46, 25.08] | Force: 2.49 | Vector: [-0.62, 0.31, -0.72]
Position: [-16.16, 70.47, 25.06] | Force: 2.49 | Vector: [-0.62, 0.31, -0.72]
Position: [-16.17, 70.48, 25.04] | Force: 2.61 | Vector: [-0.65, 0.34, -0.68]
Position: [-16.56, 70.78, 25.07] | Force: 2.74 | Vector: [-0.69, 0.39, -0.61]
Position: [-17.35, 71.44, 25.42] | Force: 3.18 | Vector: [-0.79, 0.51, -0.35]
Position: [-19.77, 73.59, 27.37] | Force: 3.24 | Vector: [-0.81, 0.54, -0.24]
Position: [-21.44, 75.25, 29.27] | Force: 3.8 | Vector: [-0.82, 0.57, 0.08]
Position: [-24.57, 78.07, 34.05] | Force: 3.67 | Vector: [-0.83, 0.56, 0.06]
Position: [-26.38, 79.86, 37.01] | Force: 3.59 | Vector: [-0.8, 0.55, 0.23]
Position: [-27.68, 81.3, 41.67] | Force: 3.54 | Vector: [-0.78, 0.52, 0.34]
Position: [-28.45, 82.26, 46.03] | Force: 3.35 | Vector: [-0.8, 0.53, 0.29]
Position: [-28.71, 82.71, 48.63] | Force: 3.27 | Vector: [-0.81, 0.52, 0.25]
Position: [-28.8, 82.9, 50.17] | Force: 3.22 | Vector: [-0.82, 0.53, 0.21]
Position: [-28.83, 83.11, 51.82] | Force: 3.17 | Vector: [-0.83, 0.53, 0.16]
Position: [-28.81, 83.13, 52.75] | Force: 3.16 | Vector: [-0.84, 0.53, 0.13]
Position: [-28.75, 83.12, 53.48] | Force: 3.16 | Vector: [-0.84, 0.53, 0.11]
