 Task2
new spring created 
Position: [-2.0, 10.71, 21.62] | Force: 4.73 | Vector: [-0.1, 0.44, 0.89]
Position: [-4.8, 29.37, 59.46] | Force: 9.39 | Vector: [-0.83, 0.48, -0.28]
Position: [-4.92, 30.0, 60.78] | Force: 9.38 | Vector: [-0.83, 0.48, -0.3]
Position: [-4.99, 30.27, 61.33] | Force: 9.38 | Vector: [-0.83, 0.47, -0.3]
Position: [-5.01, 30.4, 61.58] | Force: 9.38 | Vector: [-0.83, 0.47, -0.3]
Position: [-4.97, 30.45, 61.66] | Force: 9.39 | Vector: [-0.83, 0.47, -0.31]
Position: [-4.87, 30.47, 61.71] | Force: 9.4 | Vector: [-0.83, 0.47, -0.31]
Position: [-4.77, 30.49, 61.78] | Force: 9.4 | Vector: [-0.83, 0.47, -0.31]
Position: [-4.77, 30.49, 61.84] | Force: 9.41 | Vector: [-0.83, 0.47, -0.31]
Position: [-4.78, 30.51, 61.91] | Force: 9.41 | Vector: [-0.83, 0.47, -0.31]
Position: [-4.81, 30.55, 61.99] | Force: 9.41 | Vector: [-0.83, 0.47, -0.31]
Position: [-4.84, 30.59, 62.05] | Force: 9.41 | Vector: [-0.83, 0.47, -0.31]
Position: [-4.88, 30.63, 62.1] | Force: 9.4 | Vector: [-0.83, 0.47, -0.31]
Position: [-4.91, 30.67, 62.15] | Force: 9.4 | Vector: [-0.83, 0.47, -0.31]
Position: [-4.93, 30.7, 62.19] | Force: 9.4 | Vector: [-0.83, 0.47, -0.31]
Position: [-4.96, 30.73, 62.22] | Force: 9.4 | Vector: [-0.83, 0.47, -0.32]
Position: [-4.98, 30.76, 62.25] | Force: 9.39 | Vector: [-0.82, 0.47, -0.32]
Position: [-5.01, 30.79, 62.29] | Force: 9.39 | Vector: [-0.82, 0.47, -0.32]
Position: [-5.02, 30.81, 62.31] | Force: 9.39 | Vector: [-0.82, 0.47, -0.32]
Position: [-5.04, 30.83, 62.32] | Force: 9.39 | Vector: [-0.82, 0.47, -0.32]
Position: [-5.05, 30.84, 62.33] | Force: 9.38 | Vector: [-0.83, 0.47, -0.31]
Position: [-5.07, 30.85, 62.34] | Force: 9.38 | Vector: [-0.83, 0.47, -0.31]
Position: [-5.08, 30.86, 62.35] | Force: 9.38 | Vector: [-0.83, 0.47, -0.31]
Position: [-5.08, 30.86, 62.36] | Force: 9.38 | Vector: [-0.83, 0.47, -0.31]
Position: [-5.09, 30.87, 62.36] | Force: 0.63 | Vector: [-0.94, -0.25, -0.22]
Position: [-5.09, 30.87, 62.36] | Force: 0.63 | Vector: [-0.94, -0.25, -0.22]
Position: [-5.1, 30.87, 62.37] | Force: 0.63 | Vector: [-0.94, -0.25, -0.22]
Position: [-5.1, 30.87, 62.37] | Force: 0.63 | Vector: [-0.94, -0.25, -0.23]
Position: [-5.11, 30.88, 62.38] | Force: 0.63 | Vector: [-0.94, -0.25, -0.23]
Position: [-5.11, 30.88, 62.38] | Force: 0.63 | Vector: [-0.94, -0.25, -0.23]
Position: [-5.12, 30.88, 62.38] | Force: 1.3 | Vector: [-0.82, -0.58, 0.01]
Position: [-5.3, 30.75, 62.41] | Force: 3.98 | Vector: [-0.76, -0.63, 0.12]
Position: [-7.31, 29.45, 62.64] | Force: 4.38 | Vector: [-0.77, -0.62, 0.13]
Position: [-8.67, 27.78, 63.07] | Force: 4.17 | Vector: [-0.78, -0.61, 0.13]
Position: [-9.78, 26.24, 63.53] | Force: 3.98 | Vector: [-0.79, -0.6, 0.13]
Position: [-10.55, 25.05, 63.94] | Force: 3.86 | Vector: [-0.8, -0.58, 0.14]
Position: [-11.01, 24.25, 64.22] | Force: 3.78 | Vector: [-0.81, -0.57, 0.15]
Position: [-11.36, 23.65, 64.54] | Force: 9.28 | Vector: [-0.78, 0.52, -0.33]
Position: [-10.21, 24.38, 64.54] | Force: 9.33 | Vector: [-0.79, 0.51, -0.33]
